# VanillaKoreanCore NPC dictionary v1.0.0 - exact English name to Korean display name
# Generated by matching creature entry IDs. UTF-8, TAB separated.
"Auntie" Bernice Stonefield	숙모 버니스 스톤필드
Swift Red Ram	날쌘 붉은 산양
Swift Rooster	날쌘 르우스텔
Swift Stormsaber	날쌘 폭풍호랑이
Swift Stripped Mechanostrider	날쌘 줄무늬 기계타조
Swift Timber Wolf	날쌘 회갈색 늑대
Swift Vermilion Serpent	날쌘 주홍빛 뱀
Swift War Turtle	날쌘 전쟁거북
Swift White Mechanostrider	날쌘 흰색 기계타조
Swift White Ram	날쌘 흰색 산양
Swift White Serpent	날쌘 흰 뱀
Swift White Steed	날쌘 백마
Swift Yellow Mechanostrider	날쌘 노란색 기계타조
Swift Zulian Tiger	날쌘 줄리안 호랑이
Swiftbreeze	스입트브르이제
Swiftmane	번개갈기
Swine	돼지
Swinegart Spearhide	가시근위병 스와인가트
Swirling Vortex	소용돌이치는 회오리
Swoop	검독수리
Swordsman Daelus	검사 다엘루스
Sydney Upton	시드니 업톤
Sylannia	실라니아
Syleria Silentbranch	실레리아 사일런트브랜치
Sylista	실리스타
Sylvan Gemcrafter	숲의 보석세공사
Sylvanna Forestmoon	실반나 포레스트문
Syndicate Agent	비밀결사대 요원
Syndicate Assassin	비밀결사대 암살자
Syndicate Brigand	비밀결사대 약탈자
Syndicate Conjuror	비밀결사대 요술사
Syndicate Enforcer	비밀결사대 집행자
Syndicate Footpad	비밀결사대 노상강도
Syndicate Highwayman	비밀결사대 강도
Syndicate Magus	비밀결사대 사제
Syndicate Master Ryson	비밀결사대장 라이슨
Syndicate Mercenary	비밀결사대 용병
Syndicate Pathstalker	비밀결사대 추적자
Syndicate Prowler	비밀결사대 좀도둑
Syndicate Rogue	비밀결사대 도적
Syndicate Saboteur	비밀결사대 정찰병
Syndicate Sentry	비밀결사대 보초병
Syndicate Shadow Mage	비밀결사대 어둠마법사
Syndicate Spectre	비밀결사대 유령
Syndicate Spy	비밀결사대 염탐꾼
Syndicate Thief	비밀결사대 도둑
Syndicate Watchman	비밀결사대 경비병
Syndicate Wizard	비밀결사대 마술사
Synge	신게
Syral Bladeleaf	시랄 블레이드리프
Syurana	슈라나
Syurna	시우르나
Szabo	사보
Ta'as	타아스
Tabetha	타베사
Tabetha Wildberry	타베스아 일드벨리
Tabitha Turtleton	타비사 터틀턴
Tacknazz Copperfire	타크낫즈 콥펠피레
Taeldras Seastrider	타엘드랏 스이스트리델
Taerar	타에라
Tagain	타게인
Tah Winterhoof	타흐 윈터후프
Tai'jin	타이진
Tai'tasi	타이타시
Taiga Wisemane	타이가 와이즈메인
Taim Ragetotem	타임 레이지토템
Tainted Cockroach	오염된 바퀴벌레
Tainted Mass	오염된 덩어리
Tainted Ooze	부패한 수액괴물
Tainted Rat	오염된 쥐
Tajarri	타자리
Taka'che Bloodhide	타카체 블러드하이드
Takar the Seer	현자 타카르
Takata Steelblade	타카타 스틸블레이드
Takk the Leaper	껑충발 타크
Taklo Ringpipe	탁로 링파이프
Takrin Pathseeker	타크린 패스시커
Tal	탈
Tal'garr	탈갈르
Taladan	탈라단
Talaelar	탈렐라르
Talanis Amberscribe	타라닛 암벨스크리베
Talavana Andalorah	탈라바나 안달로라
Talbuk 2 [PH]	공포의 전령
Talbuk 3 [PH]	악몽의 임프
Taldan	탈단
Taldran Salwright	탈드란 살라이트
Talen	탈렌
Talendria	탈렌드리아
Talin Keeneye	탈린 킨아이
Taliren Lightborn	탈리렌 라이트본
Talkharu Riptusk	탈카루 립터스크
Tallonkai Swiftroot	탈론카이 스위프트루트
Tallow	탈로우
Tally Berryfizz	탈리 베리피즈
Talo Thornhoof	탈로 쏜후프
Talom Stridecloud	탈롬 스트라이드클라우드
Talon Recruit	부발톱 신병
Talona Gladeheart	탈로나 글레이드하트
Taloned Swoop	갈퀴발톱검독수리
Taloras Gladewind	탈로라스 글레이드윈드
Talorum Autumnsleaf	탈로룸 오텀슬리프
Talos	타롯
Talvas Whitesnake	탈바스 화이트스네이크
Talvash del Kissel	탈바쉬 델 키젤
Tama'an the Ruthless	타마안 루스렛스
Tamaala Bloodhoof	타말라 블러드후프
Tamamo	타마모
Tamar	타마르
Tamara Armstrong	타마라 암스트롱
Tamara Gracefall	타마라 그레이스폴
Tamaro	타마로
Tamed Alterac Ram	눈보라 정령
Tamed Battleboar	길들인 전투멧돼지
Tamed Crocolisk	길들인 악어
Tamed Hyena	길들인 하이에나
Tamed Kodo	길들인 코도
Tamed Turtle	길들여진 거북이
Tammix Razzfire	타믹스 라즈파이어
Tammra Windfield	탐라 윈드필드
Tamra Stormpike	탐라 스톰파이크
Tan'Pogo	탄포고
Tan'sha the Sleek	탄시아 스르이크
Tanalla Sagebranch	타날라 세이지브랜치
Tanaris Alpaca	타나리스 알파카
Tand	탄드
Tandaan Lightmane	탄단 라이트메인
Taneel Darkwood	타닐 다크우드
Tangerine Wind Serpent	귤빛 바람 뱀
Tangled Horror	덩굴늪괴물
Tanglemoss	탱글모스
Tanilaeh Sunkiss	타닐라 선키스
Tanner Brightbelt	태너 브라이트벨트
Tanner Fralsh	태너 프랄시
Tannok Frosthammer	탄노크 프로스트해머
Tannysa	타니사
Tanovan Darkwell	타노반 다크웰
Tansy Puddlefizz	탄지 퍼들피즈
Tansy Sparkpen	탄시 스파크펜
Tantaz Coppermud	탄타즈 코퍼머드
Tanthos Everbreeze	탄토스 에버브리즈
Tanzig Wexlight	탄직 벡스라이트
Tapoke "Slim" Jahn	"홀쭉이" 타포케 잔
Tar Beast	송진괴물
Tar Creeper	송진이끼괴물
Tar Lord	우두머리 송진괴물
Tar Lurker	송진껍질괴물
Tara Coldgaze	타라 콜드게이즈
Taradormi	타라도르미
Taragaman the Hungerer	욕망의 타라가만
Taranarion	타라나리온
Tarangos	타랑고스
Tarantula	타란툴라
Tarantula Hatchling	타란투라 새끼
Tarban Hearthgrain	타반 하트그레인
Targ	타르그
Targen Bladecall	탈겐 브라데칼르
Target Dummy	표적 허수아비
Targorr the Dread	흉악범 타고르
Targos Hatewind	타르고스 헤이트윈드
Targosh	타르고쉬
Targot Jinglepocket	까르포 징글포켓
Tarhus	탈후스
Tari'qa	타리카
Tarindrella	타린드렐라
Tarkreu Shadowstalker	타크루 섀도스토커
Tarlegg Redbrand	타르렉 레드브랜드
Tarlo Farcrack	타를로 파크랙
Tarn	타른
Tarokar	타로카르
Taronn Redfeather	타론 레드페더
Tarqsiku	타르크시쿠
Tarral Holk	타랄 홀크
Tarrel Rockweaver	타렐 록위버
Tarren Mill Deathguard	타렌 밀농장 죽음의경비병
Tarshaw Jaggedscar	타쇼 재기드스카
Tarsokk	타르소크
Tarwegg Dustbrow	탈엑그 둣트브르오
Tas Lanq	타스 랑크
Tasag	타사그
Tashga	타시가
Taskmaster Fizzule	감독관 피줄
Taskmaster Ok'gog	작업반장 옥곡
Taskmaster Scrange	작업반장 스크랜지
Taskmaster Snivvle	작업반장 스니블
Taskmaster Whipfang	행동대장 채찍송곳니
Tatternack Steelforge	테터낵 스틸포지
Taupo Foreststrider	타우포 포레스트스트라이더
Taur Stonehoof	타우르 스톤후프
Tauren Female Winter Reveler	타우렌 여자 겨울맞이 축제 구경꾼
Tauren Male Winter Reveler	타우렌 남자 겨울맞이 축제 구경꾼
Tauren Primalist	타우렌 원시술사
Tauren Rifleman	타우렌 소총병
Tavernkeep Smitts	선술집주인 스미츠
Tavia Fencer	타비아 검객
Tawny	황갈색
Tawny Grisette	타우니 그리제트
Tawny Wind Rider	황갈색 와이번
Taxxlo Rustgate	택슬로 러스트게이트
Tazan	타잔
Tazo Wirelight	타조 와이어라이트
Tazzo Gearfire	타조 기어파이어
Teal Riding Kodo	길들인 청색 코도
Techbot	첨단로봇
Technician Balwaz	기술자 발와즈
Technician Fraxdust	프락스더스트 기술자
Technician Grimzlow	기술자 그림즐로우
Technician Haztick	기술자 해스틱
Technician Hizzleflash	기술자 Hizzleflash
Technician Nel'doriel	기술자 넬도리엘
Technician Reyvo	기술자 레이보
Technician Spux	기술자 스푹스
Technician Spuzzle	기술자 퍼즐
Technician Steelbolt	기술자 스틸볼트
Technician Stormlight	기술자 스톰라이트
Technician Tixx	기술자 틱스
Technician Voltgear	볼트기어 기술자
Tectonius	텍토니웃
Teezle Dualflash	티즐 듀얼플래시
Teg Dawnstrider	테그 돈스트라이더
Tel Co. Enforcer	텔 무역 회사 집행자
Tel Co. Worker	텔 무역 회사 일꾼
Tel'Abim Gorilla	텔아빔 고릴라
Tel'Athir	텔아실
Teldrassil Sentinel	텔드랏실 파수꾼
Teldrassil Sproutling	텔드라실 묘목 정령
Telf Joolam	텔프 줄람
Telga Wildward	텔가 일드알드
Telina Shadehand	텔리나 셰이드핸드
Teller Plushner	텔러 플러시너
Telonis	텔로니스
Telonis Moonshade	테로닛 므우느시아데
Teloren	텔로렌
Telumrius	텔룸리우스
Telurinon Moonshadow	텔루리논 문섀도
Temma of the Wells	샘지기 템마
Tempered War Golem	단단한 전쟁 골렘
Temporal Dust	시간의 먼지
Temporal Parasite	시간의 기생충
Temporary Reindeer	임시 순록
Tenaron Stormgrip	테나론 스톰그립
Tendris Warpwood	굽이나무 텐드리스
Tenell Leafrunner	테넬 리프러너
Tenner Pipegadge	테너 파이프게이지
Tenris Mirkblood	텐리스 머크블러드
Tentacle Portal	촉수 차원문
Tepa	테파
Teremus the Devourer	파멸의 테레무스
Terenthis	테렌디스
Teresa Palin	테레사 페일린
Terky	터키
Terl Arakor	테를 아라코
Teronis' Corpse	테로니스의 시체
Terrordale Spirit	테러데일 영혼
Terrorspark	도깨비불꽃
Terrowulf Fleshripper	테로울프 식인전사
Terrowulf Packlord	테로울프 우두머리
Terrowulf Shadow Weaver	테로울프 흑마술사
Terry Palin	테리 팔린
Terry Robins	테리 로빈스
Tesala Whitefeather	테살라 화이트페더
Tesania Shadewind	테사니아 시아데인드
Tesla Coil	테슬라 코일
Teslinah	테슬리나
Tess Greymane	테스 그레이메인
testing buff guy	시험용 붑프 구이
Tethered Noble	테스에렏 귀족
Tethis	테디스
Tezzin Skyfuse	테진 스카이퓨즈
Thaddeus Webb	타데우스 웨브
Thaddius	타디우스
Thadius Grimshade	샤디우스 그림셰이드
Thadorond Babagiega	타도론드 바바기에가
Thal'trak Proudtusk	탈트라크 프라우드터스크
Thalanaar Sentinel	탈라나르 파수꾼
Thalassian Boar	탈라시안 멧돼지
Thalassian Charger	탈라시안 군마
Thalassian Emberfox	탈라시안 엠벨폭
Thalassian Fox	탈라시안 여우
Thalassian Sentinel	탈라시안 파수꾼
Thalassian Stag	탈라시안 사슴
Thalassian Tender	탈라시안 텐델
Thalassian Treant	탈라시안 트렌트
Thalassian Warhorse	탈라시안 전투마
Thaldon Thunderbrew	스알돈 썬더브루
Thalgus Thunderfist	탈구스 썬더피스트
Thalia Amberhide	탈리아 앰버하이드
Thalion Noblewarden	탈리온 귀족 수호자
Thalon	탈론
Tham'Grarr	탐그라르
Thamarian	타마리안
Thamner Pol	탐네르 폴
Thandol Span Attack Trigger	탄돌 스팬 공격 트리거
Thane Falod Swifthammer	영주 파롣 스입스암멜
Thane Korth'azz	영주 코스아즈
Thanthaldis Snowgleam	산살디스 스노우글림
Tharek Blackstone	타렉 블랙스톤
Tharessa	스아렛사
Tharg	타르그
Tharil'zun	타릴준
Tharl Stonebleeder	타를 스톤블리더
Tharlidun	타리둔
Tharm	타름
Tharmula Cloudwinds	사르물라 클라우드윈드
Tharnariun Treetender	타나리운 트리텐더
Tharynn Bouden	타린 바우던
Thauris Balgarr	타우리스 발가르
Thaurissan Agent	타우릿산 첩보원
Thaurissan Firewalker	타우릿산 조사단원
Thaurissan Spy	타우릿산 비밀요원
The Abominable Greench	썩은내 그린치
The Artificer	알티피켈
The Banshee Queen	밴시 여왕
The Beast	괴수
The Behemoth	거수
The Black Knight	검은 기사
The Black Widow	블랙 위도우
The Cleaner	척살자
The Cook	요리사
The Dark Knight	어둠 기사
The Defias Traitor	데피아즈단 변절자
The Duke of Cynders	불꽃의 군주
The Duke of Fathoms	나락의 군주
The Duke of Shards	파편의 군주
The Duke of Zephyrs	서풍의 군주
The Evalcharr	에발차르
The Great Magical Hoppity Hops Rabbit	거대 마법의 홉피티 홉 토끼
The Greater Spirit of Harmony	조화의 상급 정신력
The Husk	허스크
The Lich King	리치 왕
The Lost	길 잃은
The Master's Eye	지배자의 눈
The Nameless Prophet	이름 없는 예언자
The Ongar	온가르
The Peach King	프이치 왕
The Plains Vision	평야의 환영
The Prophet Skeram	예언자 스케람
The Rake	갈퀴
The Ravenian	라베니안
The Razza	라자
The Reak	리크
The Rot	시궁괴물
The Rov	로브
The Scorpid King	전갈왕
The Scourge Cauldron	스컬지 가마솥
The Snipper	저격수
The Threshwackonator 4100	망나니탈곡기 4100
The Tortured Elf	고통받는 엘프
The Unforgiven	용서받지 못한 자
The Unseen	보이지 않는 자
The Wailing Nun	울부짖는 눈
The Wandering Knight	방랑 기사
The Windreaver	칼날바람
The Winter Patriarch	겨울 족장
The Witch of Northwind	노스윈드의 잇치
Thegren	스엑렌
Theka the Martyr	순교자 데카
Theka the Martyr Shapeshift	순교자 데카의 변신 형상
Theldren	텔드렌
Theldren Kill Credit	텔드렌 처치 크레딧
Theldren Trigger	텔드렌 트리거
Theldurin the Lost	실성한 텔두린
Thelgrum Stonehammer	텔그럼 스톤해머
Thelman Slatefist	텔만 슬레이트피스트
Thelsamar Mountaineer	텔사마 산악경비대
Theminn Cragbelly	스에민느 크락벨리
Thenan	테난
Theocritus	테오크리투스
Theodore Griffs	시어도어 그리프스
Theodore Mont Claire	시어도어 몽클레어
Theodrus Frostbeard	테오드루스 프로스트비어드
Theradrim Guardian	테라드림 수호자
Theradrim Shardling	테라드림 파편
Theramore Combat Dummy	테라모어 훈련용 허수아비
Theramore Deserter	테라모어 탈영병
Theramore Guard	테라모어 경비병
Theramore Infiltrator	테라모어 첩보원
Theramore Lieutenant	테라모어 부관
Theramore Marine	테라모어 해병
Theramore Practicing Guard	훈련중인 테라모어 경비병
Theramore Preserver	테라모어 치료사
Theramore Sentry	테라모어 보초병
Theramore Skirmisher	테라모어 척후병
Theresa Moulaine	테레사 마울레인
Theridran	테리드란
Thersa Windsong	테레사 윈드송
Therul	스에룰
Therum Deepforge	테룸 딥포지
Therylune	테리루네
Therysil	테리실
Therzok	테르조크
Thessala Hydra	테살라 히드라
Thessalia Dawnspark	스엣사리아 드오느스팔크
Thief Catcher Farmountain	방범대원 파마운틴
Thief Catcher Shadowdelve	방범대원 섀도델브
Thief Catcher Thunderbrew	방범대원 썬더브루
Thingol Greyback	싱골 그레이백
Thirael Blistersong	티라엘 블리스터송
Thirsting Felhunter	스일스티응 펠훈텔
Thistle Bear	엉겅퀴곰
Thistle Boar	엉겅퀴멧돼지
Thistle Cub	새끼 엉겅퀴곰
Thistlefur Avenger	엉겅퀴 복수자
Thistlefur Den Watcher	엉겅퀴 보초
Thistlefur Pathfinder	엉겅퀴 길잡이
Thistlefur Recluse	엉겅퀴털 은둔자
Thistlefur Shaman	엉겅퀴 주술사
Thistlefur Totemic	엉겅퀴 토템술사
Thistlefur Ursa	엉겅퀴 펄볼그
Thistleheart	시슬하트
Thistleshrub Dew Collector	이슬먹는 덤불나무괴물
Thistleshrub Rootshaper	억센뿌리 덤불나무괴물
Thobias Shallowgrave	스오비앗 시알르오그라베
Tholdan Mountainheart	솔단 마운틴하트
Thomas	토마스
Thomas Arello	스오맛 아렐로
Thomas Arlento	토마스 알렌토
Thomas Berkley	토마스 버클리
Thomas Booker	토마스 부커
Thomas Miller	토마스 밀러
Thomas Mordan	토마스 모던
Thomas Pestle	토마스 페스틀
Thonk	스온크
Thontek Rumblehoof	톤테크 럼블후프
Thonys Pillarstone	토니스 필라스톤
Thor	토르
Thora Feathermoon	토라 페더문
Thoregg	소레그
Thorfin Stoneshield	톨핀 스톤쉴드
Thorg the Big	토르그 더 빅
Thorgas Grimson	토르가스 그림슨
Thorgrum Borrelson	토르그룸 보렐손
Thorinn Darkgrovel	스오린느 다크그로블
Thorium Brotherhood Lookout	토륨 대장조합 감시병
Thork	톨크
Thorkaf Dragoneye	토르카프 드래곤아이
Thorn Eater Ghoul	가시먹이 구울
Thornling	가시덩굴손
Thorvald Deepforge	토르발트 딥포지
Thotar	소타르
Thrag Stonehoof	트라그 스톤후프
Thragomm	타라곰
Thrak the Cook	트락 더 쿡
Thrall	스랄
Thralosh	스럴로쉬
Thran Khorman	스란 코르만
Thrashtail Basilisk	무쇠꼬리바실리스크
Thrawn Boltar	스론 볼타
Threggil	트레길
Throki Cliffbrow	트로키 클리프브로우
Thromli Embercast	스롬리 엠벨캇트
Thromrar Darkflame	스롬랄 달크프라메
Thronda	스론다
Thror	스토르
Thrumn	트룸
Thule Ravenclaw	까마귀발톱 쑤울
Thulman Flintcrag	툴만 플린트크래그
Thultash	툴타쉬
Thultazor	툴타조르
Thun'grim Firegaze	툰그림 파이어게이즈
Thund	선드
Thunder	우뢰
Thunder Ale Patron	썬더 에일 후원자
Thunder Bluff Commendation Officer	썬더 블러프 인사장교
Thunder Bluff Fireeater	썬더 블러프 불꽃마술사
Thunder Bluff Reveler	썬더 블러프 축제 구경꾼
Thunder Lizard	천둥도마뱀
Thunderbrew Ale Supplier	썬더브루 맥주 상인
Thunderhawk Cloudscraper	비단천둥매
Thunderhawk Hatchling	새끼 천둥매
Thunderhead	천둥뿔도마뱀
Thunderhead Consort	어미 천둥뿔 히포그리프
Thunderhead Hippogryph	천둥뿔 히포그리프
Thunderhead Patriarch	우두머리 천둥뿔 히포그리프
Thunderhead Skystormer	갈퀴발톱 천둥뿔 히포그리프
Thunderhead Stagwing	날개발굽 천둥뿔 히포그리프
Thunderheart	썬더하트
Thundering Boulderkin	우레 바위 정령
Thundering Exile	떠도는 천둥 정령
Thundering Invader	진동하는 침략자
Thunderstomp	천둥발굽
Thunderstomp Stegodon	천둥발굽 스테고돈
Thundertusk	스운델툿크
Thundris Windweaver	툰드리스 윈드위버
Thurgrum Deepforge	투그룸 딥포지
Thurman Agamand	투르만 아가만드
Thurman Mullby	투르만 멀비
Thurman Schneider	투르만 슈나이더
Thuros Lightfingers	투로스 라이트핑거
Thurston Xane	더스턴 제인
Thuul	투울
Thuwd	투워드
Thuzadin Acolyte	투자딘 수행사제
Thuzadin Necromancer	투자딘 강령술사
Thuzadin Shadowcaster	투자딘 흑마술사
Thyn'tel Bladeweaver	신텔 블레이드위버
Thyssiana	티시아나
Thysta	시스타
Ticas Quirkfuzz	티카스 쿼크퍼즈
Tick	틱크
Tide Crawler	왕바닷게
Tide Lord Naszharr	파도 군주 나스자르
Tide Mistress Rashal	파도의 여주인 라샬
Tideblade Hunter	파도칼날 사냥꾼
Tideblade Marauder	파도칼날 약탈자
Tideblade Mistress	파도칼날 여주인
Tideblade Slave	파도칼날 노예
Tidecaller Mrglrar	파도소환사 므르그르랄
Tidelord Hakash	파도의 군주 하카쉬
Tidelord Makrani	티데롤드 막라니
Tidelord Rrurgaz	바다군주 르룰가즈
Tideress	타이더레스
Tiev Mordune	티에브 모르둔
Tigor Skychaser	티고르 스카이체이서
Tiki	티키
Tikku	티쿠
Tikor Goldspin	티코르 골드스핀
Tilli Thistlefuzz	틸리 시슬퍼즈
Timber	팀버
Timber Wolf	병에 걸린 회색 늑대
Timber Wolf Alpha	목재 늑대 우두머리
Timberling	나무괴물
Timberling Bark Ripper	나무껍질괴물
Timberling Mire Beast	나무수렁괴물
Timberling Trampler	나무발굽괴물
Timbermaw Ancestor	나무구렁 선조
Timbermaw Avenger	나무구렁 응징자
Timbermaw Den Watcher	나무구렁 보초
Timbermaw Mystic	나무구렁 비술사
Timbermaw Pathfinder	나무구렁 길잡이
Timbermaw Shaman	나무구렁 주술사
Timbermaw Totemic	나무구렁 토템술사
Timbermaw Ursa	나무구렁 펄볼그
Timbermaw Warder	나무구렁 문지기
Timbermaw Warrior	나무구렁 전사
Timbermaw Woodbender	나무구렁 싸움꾼
Timberweb Hatchling	팀벨엡 새끼
Timberweb Recluse	그물나무그늘거미
Time Anomaly	시간 이상체
Time Rift	시간의 균열
Time-Lord Epochronos	시간의 군주 에포크로노스
Timmy the Cruel	잔혹한 티미
Timothy Clark	티모시 클라크
Timothy Weldon	티모시 웰던
Timothy Worthington	티모시 워싱턴
Tin'go	팅고
Tina Murray	티나 머레이
Tindlee Clockbadge	틴들리 시계 배지
Tink Sprocketwhistle	팅크 스프로켓휘슬
Tinkee Steamboil	팅키 스팀보일
Tinkerer Gizlock	땜장이 기즐록
Tinkerer Ozzlo	팅커러 오즐로
Tinkerer Sniggles	땜장이 스니글즈
Tinkerwiz	팅커위즈
Tinkmaster Overspark	수석땜장이 오버스파크
Tinsel Lost-Gloves	장갑 잃은 틴셀
Tinubi	티누비
Tiny Gelkis Rumbler	작은 겔키스 울림이
Tiny Green Dragon	작은 녹색 새끼용
Tiny Pterodactyl	작은 익룡
Tiny Red Dragon	작은 붉은 새끼용
Tiny Snowman	꼬마 눈사람
Tiny Timflake	작은 팀프라케
Tiny Walking Bomb	꼬마 폭탄
Tiny Warp Stalker	작은 차원의 추적자
Tio	티오
Tiriel Brightwater	티리엘 브라이트워터
Tirisclaw Ambusher	티리스클로 매복자
Tirisclaw Bear	티리스클로 곰
Tirisclaw Cub	티리스클로 새끼
Tirisclaw Ravager	티리스클로 레이저
Tirisclaw Roamer	티리스클로 로머
Tirisclaw Scavenger	티리스클로 스캐빈저
Tirisclaw Shadowcaster	티리스클로 섀도캐스터
Tirisfal Batling	티리스팔 박쥐
Tirisfal Farmer	티리스팔 농부
Tirisfal Farmhand	티리스팔 농장 일꾼
Tirisfal Plagued Bear	티리스팔 역병에 걸린 곰
Tisa Martine	티사 마틴
Titanic Wombat	거대한 옴밧
Titiki	티티키
Tiyani	티야니
Tiza Battleforge	타이자 배틀포지
Tizak Boltratch	티작 볼트래치
Toad	두꺼비
Tobias Seecher	토비아스 시처
Toci Flipper	토시 플리퍼
Todd Bolder	토드 볼더
Toddrick	토드릭
Tog Rustsprocket	토그 러스츠프로켓
Tog'thar	토그타르
Tognus Flintfire	토그너스 플린트파이어
Tok'Kar	톡카르
Toldren Deepiron	톨드렌 딥아이언
Tolif Valanor	톨리프 발라노르
Tomas	토마스
Tomb Creeper	툼 크리퍼
Tomb Fiend	무덤지하마귀
Tomb Horror	공포의 무덤마귀
Tomb Reaver	갈퀴발톱 무덤지하마귀
Tomb Shadow	무덤 그림자
Tommy Joe Stonefield	토미 조 스톤필드
Tonga Runetotem	통가 룬토템
Tonk Mine	통통 지뢰
Tonlok	톤록
Tooga	투가
Tooru	트우루
Topper McNabb	토퍼 맥나브
Tor'gan	토건
Tor'phan	토르판
Toranial Mishulas	토라니알 미슐라스
Torble Sparksprocket	토블 스파크스프라킷
Torek	토렉
Torgan the Wise	톨간 현명한
Torgen Blackscar	토르겐 블랙스카
Torial Dawnrise	토리얼 새벽
Torkspark Boomwrench	토크스파크 붐렌치
Torlag	톨락
Torlath Ironhard	톨라스 이론할드
Torlig Redbrand	토를리그 레드브랜드
Torm Ragetotem	토름 레이지토템
Tormek Stoneriver	토르멕 스톤리버
Tormented Officer	고통받는 장교 유령
Tormented Spirit	고통받는 영혼
Tormus Deepforge	토르무스 딥포지
Torn	토른
Torn Fin Coastrunner	너덜지느러미 길잡이
Torn Fin Muckdweller	너덜지느러미 땅꾼
Torn Fin Oracle	너덜지느러미 점쟁이
Torn Fin Tidehunter	너덜지느러미 바다사냥꾼
Torn Screamer	저주의 밴시
Torq Ironblast	톨크 아이언블라스트
Torren Squarejaw	토렌 스퀘어조
Torta	토르타
Tortured Drake	고통받는 비룡
Tortured Druid	고통받는 드루이드
Tortured Sentinel	고통받는 파수꾼
Tortured Slave	고문받은 노예
Torva	톨바
Torvag Thunderhand	톨박 스운델한드
Torwa Pathfinder	토르와 패스파인더
Torwyn Redbrand	토윈 레드브랜드
Toryn Khadinus	토린 카디누스
Tosamina	토사미나
Tosia	토시아
Tower Point Marshal	거점 보초탑 작전사령관
Tower Point Warmaster	거점 보초탑 전투대장
Town Crier	마을 포고꾼
Toxic Horror	맹독 정령
Toxic Slime	독성 수액괴물
Toxic Tunnel	독액굴
Toxx Ringweave	톡스 링위브
Toy Knight	장난감 기사
Traaz Ironfinger	트라즈 아이언핑거
Tracking Hound	추적용 사냥개
Trackmaster Zherin	경주로관리인 제린
Trade Master Kovic	대상 코빅
Trader Brightgrass	트라델 브리그트그랏스
Tradesman Laz	상인 라즈
Trained Razorbeak	길들인 뾰족부리그리핀
Trainer Sinopa	교관 시노파
Trainer Tokala	교관 토칼라
Trak'gen	트락겐
Tran'rek	트란렉
Tranquil Air Totem	평온의 토템
Tranquil Mechanical Yeti	온순한 기계설인
Translucent Guest	트란스루켄트 구엣트
Transporter Malfunction	순간이동기 기능장애
Trapped in the Nightmare Trigger	악몽에 갇힌 트리거
Trash Collector Gaston	트라시 콜렉톨 갓톤
Traugh	트라우그
Travel Form (Druid)	치타 (드루이드)
Travel through the Northeast Passage	북동항로를 통해 여행하세요
Travist Bosk	트래비스트 보스크
Traxis	트라킷
Trayexir	트라예시르
Treant	나무정령
Treant Ally	나무정령
Treant Protector	나무정령 수호자
Treant Spirit	나무정령의 혼
Treasure Hunting Buccaneer	보물사냥꾼 해적단원
Treasure Hunting Pirate	보물사냥꾼 무법자
Treasure Hunting Swashbuckler	보물사냥꾼 칼잡이
Tree Form (Night Elf Druid)	나무 형태 (나이트 엘프 드루이드)
Tree Form (Tauren Druid)	나무 형태 (타우렌 드루이드)
Tree Frog	청개구리
Treebeard the Ancient	트르이브이르드 고대의
Treenza Fastfeet	트린자 패스트핏
Treggi	트렉기
Tremor Totem	진동의 토템
Trenton Lighthammer	트렌튼 라이트해머
Tresa MacGregor	트레사 맥그레고르
Treshala Fallowbrook	트레샬라 팰로우브룩
Trevor Melain	트레볼 멜에이느
Trianna	트리안나
Trigger Guse	구스 트리거
Trigger Ichman	이크만 트리거
Trigger Jeztor	제즈톨 트리거
Trigger Mulverick	멀베릭 트리거
Trigger Slidore	실도르 트리거
Trigger Vipore	비포르 트리거
Trigore the Lasher	채찍꼬리 트리고어
Trioch the Devourer	트리오치 포식자
Tristane Shadowstone	트리스테인 섀도스톤
Triston Lancaster	트릿톤 란캇텔
Trixie Quikswitch	트리시 퀵스위치
Trixy Gollavix	트릭시 골라빅스
Trogg Vermin	트로그 버민
Trok	트록
Troll Female Winter Reveler	트롤 여자 겨울맞이 축제 구경꾼
Troll Hunter Penthar	트롤 사냥꾼 펜사
Troll Male Winter Reveler	트롤 남자 겨울맞이 축제 구경꾼
Tropical Skitterer	열대 기어다니는 생물
Troyas Moonbreeze	트로야스 문브리즈
Truk Wildbeard	트루크 와일드비어드
Trull Failbane	트룰 페일베인
Truvicus	트루비쿠스
Tsu'zee	츄지
Tsunaman	츄나만
Tu'whak	투화크
Tukk	투크
Tulu	툴루
Tumi	투미
Tundra MacGrann	툰드라 맥그란
Tunkk	텅크
Tunnel Rat Digger	동굴쥐 채굴꾼
Tunnel Rat Forager	동굴쥐 약탈꾼
Tunnel Rat Geomancer	동굴쥐 흙점쟁이
Tunnel Rat Kobold	동굴쥐 코볼트
Tunnel Rat Scout	동굴쥐 정찰병
Tunnel Rat Surveyor	동굴쥐 땜장이
Tunnel Rat Vermin	동굴쥐 졸개
Turak Runetotem	투락 룬토템
Turbo-Charged Flying Machine	터보차저 비행기
Turhaw	투르하우
Turian	투리안
Turquoise Raptor	길들인 청록색 랩터
Turtle WoW	터틀 와우
Turtlhu	터틀후
Turuk Amberstill	투룩 앰버스틸
Tuskarr Ottuk	툿칼르 옷툭
Tuten'kash	투텐카쉬
Twain	아티
